,Time,00,01,Bz,10,11,mz
0,0.01,4986,14,9.99,0.0,0.0,0.9972
1,1.0,3197,880,9.0,921.0,2.0,0.639
2,1.99,1339,327,8.01,3280.0,54.0,0.257
3,2.98,218,7,7.02,4707.0,68.0,0.03
4,3.9699999999999998,1605,14,6.03,2384.0,997.0,0.12160000000000001
5,4.96,3105,1366,5.04,502.0,27.0,0.6156
6,5.95,2742,1425,4.05,725.0,108.0,0.5268
7,6.94,465,248,3.0599999999999996,3889.0,398.0,0.013399999999999995
8,7.930000000000001,766,483,2.0699999999999994,2981.0,770.0,-0.0007999999999999952
9,8.92,3953,949,1.08,16.0,82.0,0.7742
10,9.91,787,1088,0.08999999999999986,1719.0,1406.0,-0.1238
