,Time,00,01,10,Bz,11,Exact,Interaction,mz
0,0.0,4969,19,12,-2.0,0.0,-0.999927444360715,-0.9928086358538664,-0.9938
1,2.08,4899,52,49,-0.5522529190220351,0.0,-0.9928034413954245,-0.9806662640000092,-0.9798
2,4.16,4828,79,93,-0.41525500128265885,0.0,-0.9786102041498976,-0.9668976980313502,-0.9656
3,6.24,4761,121,118,-0.36264206767775514,0.0,-0.9603045779629278,-0.9513820530883085,-0.9522
4,8.32,4681,174,144,-0.3342154773133064,1.0,-0.9389072279423643,-0.9336056613877995,-0.936
5,10.4,4582,212,204,-0.3160167026204414,2.0,-0.9147719711807889,-0.9131942394954652,-0.916
6,12.48,4467,250,282,-0.30302773195616545,1.0,-0.8880142540710481,-0.8896554754692297,-0.8932
7,14.56,4315,327,358,-0.2930901475764205,0.0,-0.8586624714357491,-0.8629063039734778,-0.863
8,16.64,4181,408,409,-0.2850602952704636,2.0,-0.8266674456858853,-0.8326869664091717,-0.8358000000000001
9,18.72,4006,518,476,-0.27825758265495487,0.0,-0.7920188100781822,-0.7988426972634481,-0.8012
10,20.8,3855,561,584,-0.27217660863725457,0.0,-0.7546684698551286,-0.7615065489337748,-0.771
11,22.880000000000003,3605,681,709,-0.26678198061113373,5.0,-0.7145563787955213,-0.7204733014106659,-0.72
12,24.96,3359,830,808,-0.261581444308536,3.0,-0.6716966004126014,-0.6757962575593327,-0.6711999999999999
13,27.04,3106,921,967,-0.25655554114579093,6.0,-0.6260471150587805,-0.6277295290035978,-0.62
14,29.12,2901,1025,1068,-0.2515921034069167,6.0,-0.5775866205931753,-0.5761000839167538,-0.5790000000000001
15,31.200000000000003,2636,1203,1150,-0.24646869294579665,11.0,-0.5263938355960918,-0.5211406580331367,-0.525
16,33.28,2352,1332,1311,-0.2410885148092667,5.0,-0.472529182712935,-0.46332348965996284,-0.4694
17,35.36,1999,1505,1490,-0.23527090127464428,6.0,-0.41613390479272416,-0.40270117470582745,-0.3986
18,37.44,1697,1669,1628,-0.2287222235401663,6.0,-0.3575587293774134,-0.33985346776022873,-0.3382
19,39.52,1349,1851,1797,-0.2210114847502333,3.0,-0.29729123746770975,-0.2759338234510355,-0.2692
20,41.6,1108,1869,2017,-0.21167516953421656,6.0,-0.2361408928253554,-0.21202022134679174,-0.22039999999999998
21,43.68,769,2101,2119,-0.19972089698499204,11.0,-0.1756211798445037,-0.15015759810941115,-0.15159999999999998
22,45.760000000000005,488,2198,2301,-0.1832440354260028,13.0,-0.11828899123073891,-0.09438800072574069,-0.095
23,47.84,269,2331,2376,-0.15838838682561052,24.0,-0.06861470177419858,-0.05111502874171972,-0.049
24,49.92,175,2384,2416,-0.114811018662268,25.0,-0.034908159452717524,-0.03127550777609455,-0.030000000000000002
25,52.0,275,2292,2377,-0.014229308973664053,56.0,-0.03178673581178081,-0.050419704748197534,-0.0438
