,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,58,164,129,4649,2.0,0.9934963032127411,0.9838436927881218,0.9181999999999999
1,0.9375,60,260,217,4463,1.0053769008831717,0.9917822201537054,0.9614507460694078,0.8805999999999999
2,1.875,91,314,300,4295,0.7276186686073227,0.9833200545153618,0.9453932607953994,0.8408
3,2.8125,94,350,345,4211,0.5950203143607911,0.965182858873568,0.9339794557274951,0.8233999999999999
4,3.75,108,406,391,4095,0.5160282361760397,0.9387231067076904,0.9232103555423861,0.7974
5,4.6875,141,467,444,3948,0.4626328567871872,0.9059642175099342,0.909519717421739,0.7614
6,5.625,165,467,475,3893,0.42338780895260075,0.8685977301741656,0.8903991755688793,0.7455999999999999
7,6.5625,157,595,511,3737,0.3927257535104176,0.8279101977162783,0.8644532939014663,0.716
8,7.5,180,615,610,3595,0.3676107271500483,0.7848763426557999,0.8310656479486807,0.6829999999999999
9,8.4375,213,705,667,3415,0.3462164585834849,0.7401503870874687,0.7900732025087124,0.6404000000000001
10,9.375,234,754,812,3200,0.3273859484211646,0.6940764709276624,0.741706313464893,0.5932000000000001
11,10.3125,243,885,963,2909,0.31031652317970976,0.6468130417216762,0.686629359749521,0.5332
12,11.25,258,1103,992,2647,0.29443848438020886,0.5984728689611445,0.6258579026602581,0.4778
13,12.1875,266,1195,1117,2422,0.2793007579816789,0.549159822643189,0.5605652375766654,0.4312
14,13.125,314,1326,1206,2154,0.26452019917806163,0.49891936942981785,0.4919592598666795,0.368
15,14.0625,330,1420,1360,1890,0.2497562817975381,0.4477143891797814,0.4213225336741031,0.312
16,15.0,383,1482,1436,1699,0.2346664464503505,0.395487362934581,0.35012633297134577,0.2632
17,15.9375,403,1592,1516,1489,0.21888186913538385,0.3422693774553693,0.28008000795237015,0.2172
18,16.875,476,1614,1730,1180,0.2019441589327732,0.28825931963446916,0.21306008031220017,0.14079999999999998
19,17.8125,459,1732,1746,1063,0.18329771568821743,0.23384770487770848,0.15098674729967063,0.1208
20,18.75,475,1827,1743,955,0.16215093369853073,0.17961809243174479,0.09570821774685824,0.096
21,19.6875,451,1910,1808,831,0.13736261855378665,0.12637259769390743,0.048893637716528,0.07599999999999998
22,20.625,592,1801,1855,752,0.1071350656659372,0.07518840828913678,0.011806938313344052,0.032
23,21.5625,612,1904,1829,655,0.06851034518499709,0.027430163448333943,-0.015275648037658837,0.00860000000000001
24,22.5,677,1772,1853,698,0.01667558452112113,-0.015469407887041736,-0.034385746208452805,0.004200000000000009
